Composition,Eg_exp,Eg_DFT,delta_Eg,delta_r,delta_chi,pauling_ionicity,VEC,delta_IE,d_fraction,Z_avg,chi_avg,delta_atomic_volume
Ag2BiO3,0.0,0.3872,-0.3872,1.0,1.51,0.4344886992597051,14.166666666666666,6.332539,0.3333333333333333,33.5,2.6999999999999997,16.252505994571198
Ag2BiO3,0.0,0.5053,-0.5053,1.0,1.51,0.4344886992597051,14.166666666666666,6.332539,0.3333333333333333,33.5,2.6999999999999997,16.252505994571198
Ag2GeS3,1.98,0.4646,1.5154,0.6000000000000001,0.6500000000000001,0.1002380044323461,14.0,2.7837760000000005,0.3333333333333333,29.0,2.268333333333333,12.96849447401867
Ag2GeSe3,0.91,0.0626,0.8474,0.4500000000000002,0.6199999999999999,0.091626825790732,14.0,2.176158,0.3333333333333333,38.0,2.2533333333333334,10.786658376100558
Ag2HgI4,2.47,1.2764,1.1936000000000002,0.20000000000000018,0.7300000000000002,0.1247318653784052,14.571428571428571,2.875025999999999,0.42857142857142855,55.142857142857146,2.357142857142857,5.663244356871207
Ag2HgI4,2.47,1.2219,1.2481000000000002,0.20000000000000018,0.7300000000000002,0.1247318653784052,14.571428571428571,2.875025999999999,0.42857142857142855,55.142857142857146,2.357142857142857,5.663244356871207
Ag2HgI4,2.47,0.0872,2.3828,0.20000000000000018,0.7300000000000002,0.1247318653784052,14.571428571428571,2.875025999999999,0.42857142857142855,55.142857142857146,2.357142857142857,5.663244356871207
Ag2HgI4,2.47,1.1004,1.3696000000000002,0.20000000000000018,0.7300000000000002,0.1247318653784052,14.571428571428571,2.875025999999999,0.42857142857142855,55.142857142857146,2.357142857142857,5.663244356871207
Ag2P2PbO7,0.0,2.3697,-2.3697,1.2000000000000002,1.51,0.4344886992597051,14.833333333333334,6.2013751,0.16666666666666666,21.833333333333332,2.8874999999999997,23.52424579008037
Ag2S,1.23,1.184,0.04600000000000004,0.6000000000000001,0.6500000000000001,0.1002380044323461,12.666666666666666,2.7837760000000005,0.6666666666666666,36.666666666666664,2.1466666666666665,12.96849447401867
Ag2S,1.23,1.2299,9.999999999998899e-05,0.6000000000000001,0.6500000000000001,0.1002380044323461,12.666666666666666,2.7837760000000005,0.6666666666666666,36.666666666666664,2.1466666666666665,12.96849447401867
Ag2S,1.23,0.9742,0.2558,0.6000000000000001,0.6500000000000001,0.1002380044323461,12.666666666666666,2.7837760000000005,0.6666666666666666,36.666666666666664,2.1466666666666665,12.96849447401867
Ag2S,1.23,1.5694,-0.3393999999999999,0.6000000000000001,0.6500000000000001,0.1002380044323461,12.666666666666666,2.7837760000000005,0.6666666666666666,36.666666666666664,2.1466666666666665,12.96849447401867
Ag2S,1.23,1.0891,0.14090000000000003,0.6000000000000001,0.6500000000000001,0.1002380044323461,12.666666666666666,2.7837760000000005,0.6666666666666666,36.666666666666664,2.1466666666666665,12.96849447401867
Ag2S,1.23,0.6819,0.5481,0.6000000000000001,0.6500000000000001,0.1002380044323461,12.666666666666666,2.7837760000000005,0.6666666666666666,36.666666666666664,2.1466666666666665,12.96849447401867
Ag2S,1.23,0.6685,0.5615,0.6000000000000001,0.6500000000000001,0.1002380044323461,12.666666666666666,2.7837760000000005,0.6666666666666666,36.666666666666664,2.1466666666666665,12.96849447401867
Ag2S,1.23,1.3634,-0.13339999999999996,0.6000000000000001,0.6500000000000001,0.1002380044323461,12.666666666666666,2.7837760000000005,0.6666666666666666,36.666666666666664,2.1466666666666665,12.96849447401867
Ag2S,1.23,1.3001,-0.07010000000000005,0.6000000000000001,0.6500000000000001,0.1002380044323461,12.666666666666666,2.7837760000000005,0.6666666666666666,36.666666666666664,2.1466666666666665,12.96849447401867
Ag2S,1.23,0.6243,0.6057,0.6000000000000001,0.6500000000000001,0.1002380044323461,12.666666666666666,2.7837760000000005,0.6666666666666666,36.666666666666664,2.1466666666666665,12.96849447401867
Ag2S,1.23,1.4428,-0.2128000000000001,0.6000000000000001,0.6500000000000001,0.1002380044323461,12.666666666666666,2.7837760000000005,0.6666666666666666,36.666666666666664,2.1466666666666665,12.96849447401867
Ag2S,1.23,1.0895,0.14050000000000007,0.6000000000000001,0.6500000000000001,0.1002380044323461,12.666666666666666,2.7837760000000005,0.6666666666666666,36.666666666666664,2.1466666666666665,12.96849447401867
Ag2S,1.23,0.1202,1.1098,0.6000000000000001,0.6500000000000001,0.1002380044323461,12.666666666666666,2.7837760000000005,0.6666666666666666,36.666666666666664,2.1466666666666665,12.96849447401867
Ag2S,1.23,1.0853,0.14470000000000005,0.6000000000000001,0.6500000000000001,0.1002380044323461,12.666666666666666,2.7837760000000005,0.6666666666666666,36.666666666666664,2.1466666666666665,12.96849447401867
Ag2S,1.23,0.3701,0.8599,0.6000000000000001,0.6500000000000001,0.1002380044323461,12.666666666666666,2.7837760000000005,0.6666666666666666,36.666666666666664,2.1466666666666665,12.96849447401867
Ag2S,1.23,1.0007,0.22930000000000006,0.6000000000000001,0.6500000000000001,0.1002380044323461,12.666666666666666,2.7837760000000005,0.6666666666666666,36.666666666666664,2.1466666666666665,12.96849447401867
Ag2SnSe3,0.84,0.0586,0.7814,0.4500000000000002,0.6199999999999999,0.091626825790732,14.0,2.408474,0.3333333333333333,41.0,2.2449999999999997,10.786658376100558
Ag3AsS3,2.235,1.1771,1.0578999999999998,0.6000000000000001,0.6500000000000001,0.1002380044323461,13.714285714285714,2.7837760000000005,0.42857142857142855,31.714285714285715,2.244285714285714,12.96849447401867
Ag3AsS3,2.235,1.6989,0.5360999999999998,0.6000000000000001,0.6500000000000001,0.1002380044323461,13.714285714285714,2.7837760000000005,0.42857142857142855,31.714285714285715,2.244285714285714,12.96849447401867
Ag3AsS3,2.235,1.6278,0.6072,0.6000000000000001,0.6500000000000001,0.1002380044323461,13.714285714285714,2.7837760000000005,0.42857142857142855,31.714285714285715,2.244285714285714,12.96849447401867
Ag3AsSe3,1.98,0.8453,1.1347,0.4500000000000002,0.6199999999999999,0.091626825790732,13.714285714285714,2.2123160000000004,0.42857142857142855,39.42857142857143,2.2314285714285718,10.786658376100558
Ag3AsSe3,1.98,0.9037,1.0763,0.4500000000000002,0.6199999999999999,0.091626825790732,13.714285714285714,2.2123160000000004,0.42857142857142855,39.42857142857143,2.2314285714285718,10.786658376100558
Ag3SbS3,2.077,1.8371,0.2399,0.6000000000000001,0.6500000000000001,0.1002380044323461,13.714285714285714,2.7837760000000005,0.42857142857142855,34.285714285714285,2.2257142857142855,12.96849447401867
Ag3SbS3,2.077,0.9521,1.1249,0.6000000000000001,0.6500000000000001,0.1002380044323461,13.714285714285714,2.7837760000000005,0.42857142857142855,34.285714285714285,2.2257142857142855,12.96849447401867
Ag3SbS3,2.077,1.5142,0.5628,0.6000000000000001,0.6500000000000001,0.1002380044323461,13.714285714285714,2.7837760000000005,0.42857142857142855,34.285714285714285,2.2257142857142855,12.96849447401867
Ag5IO6,1.4,0.0205,1.3795,1.0,1.51,0.4344886992597051,14.0,6.041821,0.4166666666666667,28.0,2.7458333333333336,16.252505994571198
Ag7AsS6,1.0,0.7299,0.2701,0.6000000000000001,0.6500000000000001,0.1002380044323461,13.428571428571429,2.7837760000000005,0.5,32.714285714285715,2.2264285714285714,12.96849447401867
Ag8GeS6,1.18,0.6102,0.5698,0.6000000000000001,0.6500000000000001,0.1002380044323461,13.2,2.7837760000000005,0.5333333333333333,33.6,2.195333333333333,12.96849447401867
AgAsS2,2.14,1.4968,0.6432000000000002,0.6000000000000001,0.6500000000000001,0.1002380044323461,14.5,2.7837760000000005,0.25,28.0,2.3175,12.96849447401867
AgAsS2,2.14,1.5777,0.5623,0.6000000000000001,0.6500000000000001,0.1002380044323461,14.5,2.7837760000000005,0.25,28.0,2.3175,12.96849447401867
AgBiS2,0.9,0.4918,0.4082,0.6000000000000001,0.6500000000000001,0.1002380044323461,14.5,3.0744940000000005,0.25,40.5,2.2775,12.96849447401867
AgBiS2,0.9,0.2304,0.6696,0.6000000000000001,0.6500000000000001,0.1002380044323461,14.5,3.0744940000000005,0.25,40.5,2.2775,12.96849447401867
AgBiS2,0.9,0.5212,0.3788,0.6000000000000001,0.6500000000000001,0.1002380044323461,14.5,3.0744940000000005,0.25,40.5,2.2775,12.96849447401867
AgBiS2,0.9,0.3169,0.5831,0.6000000000000001,0.6500000000000001,0.1002380044323461,14.5,3.0744940000000005,0.25,40.5,2.2775,12.96849447401867
AgBiSe2,0.34,0.2618,0.07820000000000005,0.4500000000000002,0.6199999999999999,0.091626825790732,14.5,2.466876,0.25,49.5,2.2625,10.786658376100558
AgBiSe2,0.34,0.2341,0.10590000000000002,0.4500000000000002,0.6199999999999999,0.091626825790732,14.5,2.466876,0.25,49.5,2.2625,10.786658376100558
AgBiSe2,0.34,0.0211,0.3189,0.4500000000000002,0.6199999999999999,0.091626825790732,14.5,2.466876,0.25,49.5,2.2625,10.786658376100558
AgBr,2.52,0.1214,2.3986,0.4500000000000002,1.03,0.23296665194444466,14.0,4.237576,0.5,41.0,2.445,10.786658376100558
AgBr,2.52,1.2442,1.2758,0.4500000000000002,1.03,0.23296665194444466,14.0,4.237576,0.5,41.0,2.445,10.786658376100558
